product_name,brand,nutritional_info,expiration_date,regulatory_notes,label
Okra,Brand_1,"Fat: 4g, Sugar: 0g",2024-10-04,"WHO, FDA",0
Cucumber,Brand_7,"Fat: 1g, Sugar: 3g",2025-05-30,"EU, FSSAI, USDA",1
Capsicum,Brand_6,"Fat: 4g, Sugar: 4g",2025-07-20,"USDA, EU, FDA",1
Banana,Brand_7,"Fat: 4g, Sugar: 2g",2024-07-17,WHO,0
Apple,Brand_2,"Fat: 3g, Sugar: 2g",2024-03-09,"EU, USDA, FSSAI, FDA",0
Banana,Brand_7,"Fat: 1g, Sugar: 4g",2025-05-04,FDA,1
Cucumber,Brand_5,"Fat: 2g, Sugar: 0g",2025-05-25,"WHO, FDA",1
Pineapple,Brand_9,"Fat: 1g, Sugar: 2g",2025-05-07,"FDA, FSSAI, EU, WHO, USDA",1
Apple,Brand_2,"Fat: 4g, Sugar: 0g",2025-01-19,"USDA, FDA, FSSAI, EU",1
Banana,Brand_4,"Fat: 5g, Sugar: 3g",2025-07-22,"WHO, USDA",1
Apple,Brand_2,"Fat: 0g, Sugar: 0g",2024-04-30,EU,0
Oranges,Brand_5,"Fat: 0g, Sugar: 1g",2025-05-20,"USDA, FSSAI, WHO, EU, FDA",1
Potato,Brand_5,"Fat: 3g, Sugar: 1g",2025-08-04,"WHO, FSSAI",1
Pineapple,Brand_6,"Fat: 1g, Sugar: 1g",2025-03-01,"EU, WHO, FSSAI, FDA",1
Apple,Brand_3,"Fat: 5g, Sugar: 5g",2024-05-26,"WHO, USDA, EU",0
Cucumber,Brand_6,"Fat: 5g, Sugar: 4g",2024-09-19,"FSSAI, EU, USDA, FDA",0
Pineapple,Brand_7,"Fat: 1g, Sugar: 2g",2024-03-30,"USDA, FSSAI, FDA",0
Okra,Brand_10,"Fat: 4g, Sugar: 5g",2024-01-13,"FSSAI, FDA, WHO",0
Pineapple,Brand_6,"Fat: 2g, Sugar: 2g",2025-04-29,"FDA, EU",1
Capsicum,Brand_10,"Fat: 3g, Sugar: 3g",2025-07-19,WHO,1
Potato,Brand_3,"Fat: 4g, Sugar: 1g",2024-10-27,"FDA, WHO, USDA",1
Potato,Brand_7,"Fat: 2g, Sugar: 1g",2024-09-14,"FDA, EU, WHO",0
Bittergourd,Brand_5,"Fat: 5g, Sugar: 5g",2025-02-02,USDA,1
Pineapple,Brand_3,"Fat: 0g, Sugar: 4g",2024-06-01,"USDA, FSSAI, WHO",0
Bittergourd,Brand_1,"Fat: 0g, Sugar: 5g",2024-04-13,FSSAI,0
Capsicum,Brand_4,"Fat: 3g, Sugar: 2g",2025-06-03,"WHO, EU, FDA, FSSAI",1
Pineapple,Brand_10,"Fat: 5g, Sugar: 0g",2024-07-27,FSSAI,0
Bittergourd,Brand_7,"Fat: 3g, Sugar: 0g",2024-07-09,WHO,0
Pineapple,Brand_1,"Fat: 1g, Sugar: 2g",2025-03-23,"FDA, WHO, EU, FSSAI, USDA",1
Apple,Brand_5,"Fat: 0g, Sugar: 2g",2025-01-19,"EU, WHO",1
Bittergourd,Brand_7,"Fat: 5g, Sugar: 5g",2024-10-24,"FDA, USDA",0
Capsicum,Brand_1,"Fat: 4g, Sugar: 5g",2024-06-24,"WHO, FSSAI, USDA, FDA",0
Bittergourd,Brand_2,"Fat: 0g, Sugar: 1g",2024-08-24,"EU, WHO",0
Banana,Brand_5,"Fat: 2g, Sugar: 1g",2025-07-20,EU,1
Banana,Brand_9,"Fat: 1g, Sugar: 0g",2025-06-28,"FSSAI, USDA",1
Bittergourd,Brand_7,"Fat: 5g, Sugar: 5g",2024-11-05,"FSSAI, WHO, EU, FDA, USDA",1
